New CSS variables,Old SCSS variables,Note
,,
--color-brand-a,$color-a,
--color-brand-b,$color-b,
--color-brand-c,$color-c,
--color-brand-d,$color-d,
--color-brand-e,$color-e,
--color-brand-f,$color-f,
--color-brand-g,$color-g,
--color-neutral-a,$color-gray-a,
--color-neutral-b,$color-gray-b,
--color-neutral-c,$color-gray-c,
--color-neutral-d,$color-gray-d,
--color-neutral-e,$color-gray-e,
--color-neutral-f,$color-white,
--color-neutral-e-hover,,
,,
--font-base-color,$font-color,
--font-heading-color,$heading-color,
--pre-heading-color,$pre-heading-color,
--lead-color,$font-color,
--link-color,$link-color,
--button-background-color,$button-background-color,
--button-color,$button-color,
--button-outline-color,$button-outline-color,
--button-outline-border-color,$button-outline-border-color,
--button-outline-hover-color,$button-outline-hover-color,
--button-alternate-background-color,$button-alternate-background-color,
--button-alternate-color,$button-alternate-color,
--icon-background-color,$icon-circle-background-color,
--icon-color,$icon-color,
--label-background,$label-background,
--label-border-color,$label-border,Take only HEX value from this.
--label-color,$label-color,
--boxed-border-color,$boxed-border-color,
--module-heading-border-color,$color-module-heading-border,
--universal-accent-color,$color-a,
,,
--font-base-color-bg-dark,$color-white,
--font-heading-color-bg-dark,$module-heading-color-bgdark,
--pre-heading-color-bg-dark,$pre-heading-color-bgdark,
--lead-color-bg-dark,$color-white,
--link-color-bg-dark,$color-white,
--button-background-color-bg-dark,$color-white,
--button-font-color-bg-dark,$color-a,
--button-outline-border-color-bg-dark,$color-white,
--button-outline-font-color-bg-dark,$color-white,
--button-alternate-background-color-bg-dark,$color-white,
--button-alternate-font-color-bg-dark,$color-a,
--icon-background-color-bg-dark,$color-white,
--icon-color-bg-dark,$icon-color,
--label-background-bg-dark,$color-white,
--label-border-bg-dark,$color-white,
--label-color-bg-dark,$color-a,
--boxed-border-color-bg-dark,,
--module-heading-border-color-bg-dark,$module-heading-color-bgdark,
--universal-accent-color-on-bg-dark,$color-white,
,,
--font-xsmall,$font-xsmall,
--font-small,$font-small,
--font-normal,$font-normal,
--font-xnormal,$font-xnormal,
--font-medium,$font-medium,
--font-xmedium,$font-xmedium,
--font-large,$font-large,
--font-xlarge,$font-xlarge,
--font-xxlarge,$font-xxlarge,
--font-xlarge-size-span-1-9,$font-medium,
--font-xxlarge-size-span-1-9,$font-xmedium,
,,
--font-base-family,$font-base,
--font-base-weight,$font-base-weight,
,,
--font-heading-hyphens,$headlines-hyphens,
--font-heading-family,$font-headings,
